team,player_name,gsis_id,pos_abb,pos_rank
ARI,Marvin Harrison Jr.,00-0039849,WR,1
ARI,Michael Wilson,00-0038559,WR,2
ARI,Kendrick Bourne,00-0033307,WR,3
ARI,Xavier Weaver,00-0039521,WR,4
ATL,Drake London,00-0037238,WR,1
ATL,Jahan Dotson,00-0037741,WR,2
ATL,Olamide Zaccheaus,00-0035208,WR,3
ATL,Zachariah Branch,BRA531428,WR,4
BAL,Zay Flowers,00-0039064,WR,1
BAL,Rashod Bateman,00-0036550,WR,2
BAL,Devontez Walker,00-0039792,WR,3
BAL,Ja'Kobi Lane,LAN311008,WR,4
BUF,DJ Moore,00-0034827,WR,1
BUF,Khalil Shakir,00-0037261,WR,2
BUF,Joshua Palmer,00-0036988,WR,3
BUF,Keon Coleman,00-0039901,WR,4
CAR,Tetairoa McMillan,00-0040124,WR,1
CAR,Jalen Coker,00-0039491,WR,2
CAR,Xavier Legette,00-0039342,WR,3
CAR,Chris Brazzell II,BRA836631,WR,4
CHI,Rome Odunze,00-0039919,WR,1
CHI,Luther Burden III,00-0040735,WR,2
CHI,Kalif Raymond,00-0032464,WR,3
CHI,Zavion Thomas,THO417520,WR,4
CIN,Ja'Marr Chase,00-0036900,WR,1
CIN,Tee Higgins,00-0036410,WR,2
CIN,Andrei Iosivas,00-0038619,WR,3
CIN,Colbie Young,YOU154529,WR,4
CLE,Jerry Jeudy,00-0036407,WR,1
CLE,KC Concepcion,CON046719,WR,2
CLE,Denzel Boston,BOS677861,WR,3
CLE,Cedric Tillman,00-0038979,WR,4
DAL,CeeDee Lamb,00-0036358,WR,1
DAL,George Pickens,00-0037247,WR,2
DAL,Ryan Flournoy,00-0039410,WR,3
DAL,KaVontae Turpin,00-0037801,WR,4
DEN,Courtland Sutton,00-0034348,WR,1
DEN,Jaylen Waddle,00-0036613,WR,2
DEN,Troy Franklin,00-0039868,WR,3
DEN,Pat Bryant,00-0040134,WR,4
DET,Amon-Ra St. Brown,00-0036963,WR,1
DET,Jameson Williams,00-0037240,WR,2
DET,Isaac TeSlaa,00-0040669,WR,3
DET,Greg Dortch,00-0035500,WR,4
GB,Christian Watson,00-0038124,WR,1
GB,Jayden Reed,00-0039146,WR,2
GB,Matthew Golden,00-0040667,WR,3
GB,Savion Williams,00-0040009,WR,4
HOU,Nico Collins,00-0036554,WR,1
HOU,Jayden Higgins,00-0040130,WR,2
HOU,Tank Dell,00-0038977,WR,3
HOU,Xavier Hutchinson,00-0038618,WR,4
IND,Alec Pierce,00-0037664,WR,1
IND,Josh Downs,00-0038997,WR,2
IND,Nick Westbrook-Ikhine,00-0036182,WR,3
IND,Ashton Dulin,00-0035021,WR,4
JAX,Brian Thomas Jr.,00-0039893,WR,1
JAX,Jakobi Meyers,00-0034960,WR,2
JAX,Parker Washington,00-0038606,WR,3
JAX,Travis Hunter,00-0040718,WR,4
KC,Rashee Rice,00-0039067,WR,1
KC,Xavier Worthy,00-0039894,WR,2
KC,Tyquan Thornton,00-0038104,WR,3
KC,Jalen Royals,00-0040646,WR,4
LA,Puka Nacua,00-0039075,WR,1
LA,Davante Adams,00-0031381,WR,2
LA,Jordan Whittington,00-0039751,WR,3
LA,Konata Mumpfield,00-0040590,WR,4
LAC,Ladd McConkey,00-0039915,WR,1
LAC,Quentin Johnston,00-0038544,WR,2
LAC,Tre' Harris,00-0040727,WR,3
LAC,Brenen Thompson,THO495568,WR,4
LV,Tre Tucker,00-0038563,WR,1
LV,Jalen Nailor,00-0037291,WR,2
